RU;80;1302;TransparentCalls;0.74;958;0;16
US;83;103;E-Voice;0.91;379;59;3
GB;17;1625;TransparentCalls;0.82;428;55;30
FR;20;1557;TransparentCalls;0.84;93;51;26
BL;78;1017;E-Voice;0.70;738;92;38
AT;8;1190;TransparentCalls;0.80;627;48;32
BG;21;1207;E-Voice;0.74;204;86;56
DK;76;1058;JustPhone;0.88;368;67;18
CA;21;369;JustPhone;0.95;320;14;38
ES751260;E-Voice;0.71;142;84;55
CH;92;257;JustPhone;0.96;257;57;54
TR;36;164;TransparentCalls;0.64;145;88;9
PE;46;92;JustPhone;0.69;146;88;25
NZ;37;1696;JustPhone;0.94;42;73;50
MC;85;1560;E-Voice;0.62;491;44;24
